name,stateCode,latitude,longitude,contactPhone,company_website,facilitySubtypeIds,status,private_equity_backer,relevance,google_search_count
Stericycle,MO,38.688797,-90.215256,(847) 943-6698,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
WM Healthcare Solutions,NC,35.872198,-76.3878469,(252) 797-3849,http://www.wmhealthcaresolutions.com/,Autoclave,Private,Unknown,Relevant,2
Assured-Waste Solutions LLC,NC,35.28099,-81.18114,,https://assuredwaste.com/,Autoclave,Private,Unknown,Relevant,2
Stericycle,NC,36.0661,-79.348716,,https://www.stericycle.com/,Incinerator,Public,Unknown,Relevant,1
Stericycle,NC,35.4185644,-80.6516599,(336) 578-8900,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,NE,40.87257,-96.638405,(847) 943-6700,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,NM,35.10376,-106.644295,(847) 943-6701,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,NY,40.744755,-73.41823,(847) 943-6702,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,NY,42.49633,-79.2876,(716) 366-4444,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Accu Medical Waste Services,OH,39.377254,-81.39975,,https://www.accumedical.net/,Autoclave,Private,Unknown,Relevant,2
Stericycle,OH,41.7214326,-83.5746035,(419) 729-8005,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,OH,41.224617,-80.809555,(330) 393-0385,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,OH,41.22125,-80.803333,,https://www.stericycle.com/,Incinerator,Public,Unknown,Relevant,1
Stericycle,OK,35.746998,-96.6454679,(847) 943-6706,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
On Site Sterilization LLC,PA,40.231205,-75.553055,,https://www.onsitesterylization.com/,Autoclave,Private,Unknown,Relevant,5
Stericycle,TN,36.132328,-86.7424,(847) 943-6685,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,TN,35.079817,-90.082588,(847) 943-6707,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,TX,30.351608,-95.443344,(847) 943-6708,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,TX,32.883076,-96.67572,(847) 943-6709,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,TX,30.0612385,-97.6000717,(847) 943-6710,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,UT,40.84382,-111.94086,,https://www.stericycle.com/,Incinerator,Public,Unknown,Relevant,1
Stericycle,WA,46.55411,-122.291534,(847) 943-6711,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
Stericycle,WV,39.340645,-81.450966,(847) 943-6712,https://www.stericycle.com/,Autoclave,Public,Unknown,Relevant,1
